sample	init_young	init_poisson	opt_young	opt_poisson	init_wcs	opt_wcs	init_zcompress_min	init_zcompress_max	opt_zcompress_min	opt_zcompress_max	init_zcompress_sim_min	init_zcompress_sim_max	opt_zcompress_sim_min	opt_zcompress_sim_max	init_zcompress_sim_2x2x1_min	init_zcompress_sim_2x2x1_max	opt_zcompress_sim_2x2x1_min	opt_zcompress_sim_2x2x1_max
0024_283	0.3147501334631911	0.3753190401278805	0.315819448332327	0.3756321626044459	2.4231201388913555e+03	8.1370159030113746e+02	-4.4377676704750678e+02	1.6281672999069485e+02	-2.5842834760487250e+02	1.0030715770301006e+02	-1.1949923261036362e+02	7.4175011149959857e+01	-8.9230487565859718e+01	7.6769557949971940e+01	-1.1900038113882135e+02	7.4038148815388396e+01	-8.9361152149097521e+01	7.6764706019265788e+01	
0024_288	0.3152173925840868	0.3125079131144664	0.3265340314378252	0.308011013177614	3.9236341586504263e+03	1.2304253900125893e+03	-3.0296726192730114e+02	1.1120788053000187e+02	-1.8460421489715321e+02	1.0510487566487726e+02	-1.1899032831104965e+02	1.2662752731556307e+02	-8.0573665253084883e+01	6.1514098100736859e+01	-1.3386948556809830e+02	1.2485644673718589e+02	-8.1165398780256751e+01	6.1731212106295693e+01	
0024_289	0.3152562605069758	0.405816883097449	0.3160857726664069	0.4058491166686696	3.3155528793613958e+03	9.5950896449827678e+02	-7.2329585296084156e+02	1.6367272339441834e+02	-3.1785641882217516e+02	9.2876805257331498e+01	-1.6108019626466231e+02	1.1129199576562692e+02	-9.4142533343751793e+01	7.1937876742488214e+01	-1.5988016490084527e+02	1.1080518154511648e+02	-9.4824469321386303e+01	7.3020022651235678e+01	
0024_305	0.3968029170022728	0.2810874312778275	0.3978143963833859	0.2788082897369199	2.7389756427382399e+03	6.9476493972747949e+02	-2.3295855289577739e+02	1.0294358244153715e+02	-2.5249684744409646e+02	1.0668337562772496e+02	-8.8469260270293546e+01	9.4875519128480519e+01	-9.1497616024533542e+01	6.5367537476754947e+01	-9.6237028074883341e+01	9.1380199700531705e+01	-9.1304573488831338e+01	6.6805970773381148e+01	
0024_312	0.3971505815429561	0.310368903561365	0.3984776813503934	0.3102766508861773	4.3595059118499985e+03	8.9644409573806684e+02	-3.1389144945011270e+02	1.1777590431015872e+02	-2.8791864419363725e+02	1.4144094449460363e+02	-1.1825388212336455e+02	1.7708255879331915e+02	-1.2951098587402882e+02	1.0943007883629008e+02	-1.2867208795685673e+02	1.7546196472334327e+02	-1.3002225721004302e+02	1.1049850500328878e+02	
0024_353	0.7939469589402971	0.2815205897405476	0.7928787411683892	0.2818928176229816	1.8270949778126260e+03	7.1917675839545063e+02	-3.0346231013475125e+02	1.0642491611472751e+02	-3.0558297244943026e+02	1.3454845699467344e+02	-1.1290946942949687e+02	1.2935262754854315e+02	-1.4935493741242772e+02	7.6033055701037313e+01	-1.1990750662776273e+02	1.2522538650147973e+02	-1.4931912570434292e+02	7.5935251111234010e+01	
0024_390	1.260896590138411	0.2824259221128382	1.260010401956229	0.2859984496490192	1.4809001740393494e+03	4.1009555229460460e+02	-3.8504250492959670e+02	9.7130915056412064e+01	-3.7736298654173191e+02	1.7781837174409665e+02	-1.4003308624298126e+02	1.6360198384511563e+02	-1.8570753943678400e+02	1.1629925007348457e+02	-1.4398621886874650e+02	1.5908709859862051e+02	-1.8609476487565311e+02	1.1624018881358215e+02	
0024_408	1.587391459795278	0.2500387554343618	1.600387423100293	0.2412836255357076	2.3195822650495138e+03	3.9625001505318124e+02	-4.3830093407125418e+02	1.2077852674152604e+02	-4.1975357606492605e+02	1.5785474021296520e+02	-1.6239930769202061e+02	2.9903267989341964e+02	-2.1433024196373083e+02	6.4377237012788044e+01	-1.6277791762596485e+02	2.8787830013443744e+02	-2.1327887214883862e+02	6.5075977797867054e+01	
0024_409	1.587396605910672	0.2812323720140265	1.596074416908583	0.2808557073072892	1.8449580181313361e+03	3.2226990149134008e+02	-4.7599814839868867e+02	9.3455234845737579e+01	-4.1810636525394824e+02	1.8529364789302954e+02	-1.5595562046100699e+02	2.5213410291279149e+02	-1.8319483792472948e+02	1.1755913496072085e+02	-1.6010022296936421e+02	2.4575436413850846e+02	-1.8409020489116779e+02	1.2004351871604693e+02	
0024_44	0.007828025729908646	0.1247190348022544	0.008118977875399275	0.1198522508091547	2.6336620826500228e+04	1.1079556112341486e+04	-7.7460382775735283e+01	3.2598666273037516e+01	-4.7342242352461454e+01	2.9844930767305200e+01	-3.4127273557295624e+01	1.5554216711197304e+01	-2.5990013119039688e+01	1.3538972831416642e+01	-3.7337774244089168e+01	1.5536633062731129e+01	-2.6165972058689917e+01	1.4208466594497740e+01	
0024_476	4.001650295109793	0.2187207011595391	3.984735336840771	0.2344174587789226	1.0958657625365233e+03	2.4827458016812739e+02	-1.1124507314789394e+03	1.3631664198139967e+02	-6.5736715273033940e+02	1.4159346715256171e+02	-4.4090282365347917e+02	2.9832294686266135e+02	-2.8362676084760267e+02	8.3149625951987389e+01	-4.4227411588015951e+02	2.8685369340467065e+02	-2.8411676330312582e+02	8.3594811025803949e+01	
0024_492	5.034869858177101	0.2189046157327568	4.956758559872197	0.2278762698346207	8.8334108152172530e+02	2.0088152237548459e+02	-1.4769379554339832e+03	1.4412273722997918e+02	-6.4080907925091924e+02	1.5776881637912996e+02	-5.8622807459245428e+02	2.9646728200451719e+02	-2.9136283097750311e+02	8.7212087957410077e+01	-5.8517070045496826e+02	2.8534490866744943e+02	-2.9115440897942028e+02	8.8634858639845945e+01	
0024_57	0.009859019219087649	0.312647817457015	0.009740088769659967	0.3058869121684844	2.2214569618250851e+04	1.0852659959793385e+04	-2.1798048832028672e+02	4.0680228210406213e+01	-9.1016616380188694e+01	3.7384432606429684e+01	-8.6880900013302906e+01	1.9874551212757073e+01	-3.8359588154298635e+01	1.3971714864765580e+01	-8.8732657322794168e+01	1.9620462568484140e+01	-4.0842554231030974e+01	1.6057005766959765e+01	
0024_75	0.01541544423234783	0.2812616136414622	0.01540639475332402	0.2809649972565547	1.6180501852978357e+04	6.4725979559441384e+03	-1.9022921222236576e+02	5.5403772890611023e+01	-5.8787374194028054e+01	3.9078556427418420e+01	-6.3693871026206317e+01	2.0218384510640146e+01	-2.0866676386187549e+01	2.3922806256370045e+01	-6.9222477802898098e+01	2.1233022773948871e+01	-2.6183981339646422e+01	2.4458790160878298e+01	
